Model Year,Make,Model Name,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption: City (L/100 km),Fuel Consumption: Hwy (L/100 km),Fuel Consuption: Comb (L/100 km),Fuel Consuption: Comb (mpg),CO2 Emissions (g/km),CO2 Rating,Smog Rating
2020,Acura,MDX Hybrid AWD,SUV: Small,3,6,AM7,Z,9.1,9,9,31,210,5,3
2020,Acura,RLX Hybrid,Mid-size,3.5,6,AM7,Z,8.4,8.2,8.4,34,196,6,7
2020,Alfa Romeo,4C Spider,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,6,1
2020,Alfa Romeo,Giulia,Mid-size,2,4,A8,Z,10,7.2,8.7,32,205,6,3
2020,Aston Martin,DBS Superleggera,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,20,324,3,3
2020,Audi,Q7,SUV: Standard,3,6,AS8,Z,13.8,11.4,12.7,22,296,3,5
2020,Audi,Q8,SUV: Standard,3,6,AS8,Z,13.8,11.4,12.7,22,296,3,5
2020,Audi,A6 quattro,Mid-size,2,4,AM7,Z,9.8,7.4,8.7,32,205,6,5
2020,Audi,S7,Mid-size,2.9,6,AS8,Z,12.9,8.5,10.9,26,255,4,5
2020,Audi,S8,Full-size,4,8,AS8,Z,17.6,10.7,14.5,19,339,2,3
2020,Audi,S4,Compact,3,6,AS8,Z,11.8,8.9,10.5,27,245,5,5
2020,Audi,RS 3,Subcompact,2.5,5,AM7,Z,12.1,8.4,10.4,27,243,5,3
2020,Audi,Q5,SUV: Small,2,4,AM7,Z,10.7,8.4,9.7,29,226,5,5
2020,Bentley,Continental GT Convertible,Subcompact,6,12,AM8,Z,19.2,12.2,16,18,373,2,3
2020,Bentley,Continental GT Convertible,Subcompact,4,8,AM8,Z,15.1,9.1,12.4,23,291,3,3
2020,BMW,M8 Cabriolet Competition,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,322,3,3
2020,BMW,M240i Coupe M Performance,Subcompact,3,6,AS8,Z,11.4,8.1,9.9,29,231,5,3
2020,BMW,M4 Cabriolet Competition,Subcompact,3,6,M6,Z,13.8,9.4,11.9,24,280,4,3
2020,BMW,M8 Cabriolet,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,322,3,3
2020,BMW,230i Coupe,Subcompact,2,4,AS8,Z,9.5,7.4,8.5,33,200,6,7
2020,BMW,540i xDrive Sedan,Mid-size,3,6,AS8,Z,10.7,8.1,9.5,30,222,5,5
2020,BMW,X4 M Competition,SUV: Small,3,6,AS8,Z,16.6,12.1,14.6,19,339,2,3
2020,BMW,750Li xDrive Sedan,Full-size,4.4,8,AS8,Z,14.5,9.9,12.4,23,290,3,3
2020,BMW,M240i Cabriolet,Subcompact,3,6,AS8,Z,11.4,8.1,9.9,29,231,5,3
2020,BMW,440i xDrive Cabriolet,Subcompact,3,6,AS8,Z,12.4,8.5,10.7,26,249,4,3
2020,BMW,X4 M40i,SUV: Small,3,6,AS8,Z,11.3,8.7,10.1,28,235,5,5
2020,BMW,230i xDrive Cabriolet,Subcompact,2,4,AS8,Z,10.9,7.5,9.4,30,219,5,7
2020,BMW,X7 xDrive50i,SUV: Standard,4.4,8,AS8,Z,15.5,11.4,13.6,21,318,3,3
2020,BMW,430i xDrive Gran Coupe,Compact,2,4,AS8,Z,10.9,7.5,9.4,30,219,5,7
2020,BMW,M550i xDrive Sedan,Mid-size,4.4,8,AS8,Z,13.6,9.3,11.7,24,273,4,3
2020,BMW,X5 M50i,SUV: Standard,4.4,8,AS8,Z,14.5,10.7,12.8,22,302,3,3
2020,BMW,X5 xDrive40i,SUV: Standard,3,6,AS8,Z,11.7,9.1,10.5,27,245,5,3
2020,BMW,M240i xDrive Coupe,Subcompact,3,6,AS8,Z,11.4,8.3,10,28,233,5,3
2020,Buick,Regal AWD,Mid-size,2,4,AS8,Z,11,8,9.6,29,227,5,5
2020,Buick,Enclave AWD,SUV: Standard,3.6,6,A9,X,13.6,9.6,11.8,24,277,4,6
2020,Buick,Encore AWD,SUV: Small,1.4,4,AS6,X,10,8,9.1,31,214,5,5
2020,Cadillac,CT5,Mid-size,2,4,AS10,Z,10.4,7.3,9,31,209,5,6
2020,Cadillac,XT5,SUV: Small,2,4,AS9,Z,11,8.3,9.8,29,227,5,6
2020,Cadillac,CT6 AWD,Full-size,3.6,6,AS10,X,12.9,8.7,11,26,259,4,5
2020,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,X,16.6,13,15,19,350,2,3
2020,Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,4.3,6,A6,X,16.3,12.9,14.8,19,349,2,6
2020,Chevrolet,Blazer,SUV: Small,2.5,4,A9,X,11.3,8.9,10.2,28,238,5,5
2020,Chevrolet,Tahoe 4WD FFV,SUV: Standard,5.3,8,A6,X,16,11.2,13.8,20,325,3,3
2020,Chevrolet,Trax AWD,SUV: Small,1.4,4,AS6,X,10,8,9.1,31,214,5,5
2020,Chevrolet,Impala,Full-size,3.6,6,AS6,E,17.2,11.6,14.7,19,246,4,5
2020,Chevrolet,Silverado WT 4WD,Pickup truck: Standard,2.7,4,A8,X,12.7,11,12,24,280,4,6
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6,A6,X,15.7,12,14.1,20,331,3,6
2020,Chevrolet,Suburban FFV,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,21,314,3,3
2020,Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,X,13.4,9.6,11.7,24,273,4,5
2020,Chevrolet,Camaro,Subcompact,2,4,AS8,Z,10.9,7.6,9.4,30,219,5,5
2020,Chevrolet,Suburban 4WD FFV,SUV: Standard,5.3,8,A6,X,16.8,11.3,14.4,20,337,2,3
2020,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,E,22.3,18.1,20.5,14,342,2,3
2020,Chevrolet,Tahoe 4WD,SUV: Standard,6.2,8,A10,Z,16.5,10.9,13.9,20,327,3,3
2020,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A6,X,15.9,11.4,13.9,20,326,3,5
2020,Chevrolet,Silverado 4WD LT Trail Boss,Pickup truck: Standard,6.2,8,A10,Z,15.7,12.4,14.2,20,332,3,3
2020,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,X,14,9.9,12.2,23,286,3,5
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,24,275,4,6
2020,Chrysler,300 AWD,Full-size,3.6,6,A8,X,12.8,8.7,11,26,258,4,3
2020,Dodge,Charger,Full-size,3.6,6,A5,X,13.7,9,11.6,24,271,4,3
2020,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,M6,Z,18.1,11.4,15.1,19,352,2,1
2020,Dodge,Durango AWD SRT,SUV: Standard,6.4,8,A8,Z,18.3,12.2,15.6,18,363,2,1
2020,Dodge,Challenger (MDS),Mid-size,5.7,8,A8,X,14.7,9.4,12.3,23,289,3,3
2020,Dodge,Challenger AWD,Mid-size,3.6,6,A8,X,12.8,8.7,11,26,258,4,3
2020,Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,M6,Z,16.7,10.4,13.9,20,325,3,1
2020,FIAT,124 Spider,Two-seater,1.4,4,A6,X,9.3,6.5,8,35,187,6,3
2020,Ford,Mustang Convertible,Subcompact,2.3,4,M6,X,11.8,8.4,10.3,27,240,5,5
2020,Ford,Escape Hybrid,SUV: Small,2.5,4,AV,X,5.4,6.3,5.8,49,136,9,7
2020,Ford,GT,Two-seater,3.5,6,AM7,Z,19.8,12.8,16.6,17,393,1,3
2020,Ford,Explorer AWD,SUV: Standard,3,6,AS10,X,13.3,9.8,11.8,24,278,4,5
2020,Ford,Shelby GT350 Mustang,Subcompact,5.2,8,M6,Z,17.1,11.4,14.5,19,342,2,3
2020,Ford,F-150,Pickup truck: Standard,3.5,6,AS10,X,14.3,10.7,12.7,22,298,3,5
2020,Ford,F-150 FFV (LT Tire Pkg),Pickup truck: Standard,5,8,AS10,E,20,14.9,17.7,16,294,3,3
2020,Ford,Mustang Convertible,Subcompact,5,8,AS10,X,15.4,9.7,12.9,22,303,3,3
2020,Ford,F-150 FFV 4X4,Pickup truck: Standard,3.3,6,AS6,E,17.6,13.8,15.9,18,265,4,5
2020,Ford,Edge AWD,SUV: Small,2,4,AS8,X,11.4,8.3,10,28,233,5,5
2020,Ford,Escape Hybrid AWD,SUV: Small,2.5,4,AV,X,5.5,6.4,5.9,48,139,9,7
2020,Ford,Escape,SUV: Small,1.5,3,AS8,X,8.6,7.1,7.9,36,185,7,7
2020,Ford,Explorer AWD,SUV: Standard,2.3,4,AS10,X,11.6,8.7,10.3,27,241,5,5
2020,Ford,Edge AWD,SUV: Small,2.7,6,AS8,X,12.5,9.2,11,26,258,4,5
2020,Ford,F-150 FFV 4X4,Pickup truck: Standard,5,8,AS10,X,15.1,11.6,13.5,21,317,3,3
2020,Ford,EcoSport AWD,SUV: Small,2,4,AS6,X,10.2,8.1,9.2,31,216,5,5
2020,Ford,F-150 FFV 4X4,Pickup truck: Standard,3.3,6,AS6,X,12.9,10.2,11.7,24,274,4,5
2020,Genesis,G70 AWD,Compact,3.3,6,AS8,Z,14.1,9.5,12,24,284,3,3
2020,Genesis,G90 AWD,Full-size,5,8,AS8,Z,15.4,10.2,13.1,22,311,3,5
2020,GMC,Yukon XL 4WD,SUV: Standard,6.2,8,A10,Z,17.2,11.4,14.6,19,343,2,3
2020,GMC,Canyon,Pickup truck: Small,3.6,6,A8,X,13.4,9.6,11.7,24,273,4,5
2020,GMC,Yukon XL 4WD FFV,SUV: Standard,5.3,8,A6,X,16.8,11.3,14.4,20,337,2,3
2020,GMC,Acadia,SUV: Standard,3.6,6,A9,X,12.6,8.8,10.9,26,257,4,6
2020,GMC,Sierra 4WD,Pickup truck: Standard,5.3,8,A8,X,14.7,10.8,13,22,304,3,5
2020,GMC,Yukon XL FFV,SUV: Standard,5.3,8,A6,E,21.2,13.9,17.9,16,298,3,3
2020,GMC,Acadia AWD,SUV: Standard,3.6,6,A9,X,13.1,9.4,11.4,25,269,4,6
2020,GMC,Yukon 4WD FFV,SUV: Standard,5.3,8,A6,X,16,11.2,13.8,20,325,3,3
2020,GMC,Terrain AWD,SUV: Small,1.5,4,A9,X,9.5,8.3,9,31,210,5,7
2020,GMC,Sierra 4WD,Pickup truck: Standard,5.3,8,A10,X,14.3,10.6,12.7,22,298,3,5
2020,GMC,Sierra,Pickup truck: Standard,4.3,6,A6,X,15.1,11.5,13.5,21,318,3,6
2020,GMC,Yukon XL,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,21,314,3,3
2020,GMC,Sierra WT,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,24,275,4,6
2020,Honda,Insight EX/Touring,Mid-size,1.5,4,AV,X,4.6,5.3,4.9,58,115,10,7
2020,Honda,Accord,Full-size,1.5,4,M6,X,8.9,6.7,7.9,36,185,7,7
2020,Honda,Pilot AWD,SUV: Small,3.5,6,A6,X,13,9.3,11.3,25,266,4,3
2020,Honda,Civic Sedan Si,Mid-size,1.5,4,M6,Z,8.9,6.4,7.8,36,183,7,3
2020,Honda,HR-V,Station wagon: Small,1.8,4,AV,X,8.4,7,7.8,36,181,7,5
2020,Honda,Fit,Station wagon: Small,1.5,4,M6,X,8.1,6.6,7.4,38,174,7,3
2020,Honda,Civic Coupe,Compact,2,4,AV,X,7.8,6.1,7.1,40,164,8,3
2020,Honda,Civic Sedan,Mid-size,1.5,4,AV7,X,7.8,6.2,7.1,40,165,7,3
2020,Hyundai,Santa Fe,SUV: Small,2.4,4,AS8,X,10.8,8,9.6,29,225,5,5
2020,Hyundai,Tucson AWD,SUV: Small,2,4,AS6,X,10.8,9.2,10.1,28,239,5,5
2020,Hyundai,Elantra,Mid-size,2,4,M6,X,9.1,6.3,7.9,36,187,7,5
2020,Hyundai,Santa Fe AWD,SUV: Small,2,4,AS8,X,12,9.2,10.7,26,255,4,5
2020,Hyundai,Tucson,SUV: Small,2,4,AS6,X,10,7.9,9.1,31,216,5,5
2020,Hyundai,Veloster Turbo,Compact,1.6,4,AM7,X,8.5,6.9,7.8,36,184,7,5
2020,Hyundai,Sonata,Full-size,1.6,4,AS8,X,8.6,6.6,7.7,37,181,7,5
2020,Hyundai,Kona AWD,SUV: Small,1.6,4,AM7,X,9,8,8.6,33,201,6,5
2020,Infiniti,QX50 AWD,SUV: Small,2,4,AV8,Z,10.8,8.3,9.7,29,228,5,5
2020,Infiniti,Q60 AWD Red Sport,Subcompact,3,6,AS7,Z,12.5,9.2,11,26,259,4,3
2020,Jaguar,F-TYPE Coupe R-Dynamic AWD,Two-seater,3,6,AS8,Z,13,9.2,11.3,25,265,4,7
2020,Jaguar,F-TYPE SVR AWD Convertible,Two-seater,5,8,AS8,Z,15.2,9.8,12.7,22,299,3,3
2020,Jaguar,XE P250 AWD,Compact,2,4,AS8,Z,9.8,6.9,8.5,33,200,6,7
2020,Jaguar,F-TYPE R AWD Coupe,Two-seater,5,8,AS8,Z,15.2,9.8,12.7,22,299,3,3
2020,Jaguar,XF 30t AWD,Mid-size,2,4,AS8,Z,10.6,7.6,9.2,31,217,5,7
2020,Jaguar,F-PACE 30t,SUV: Small,2,4,AS8,Z,10.9,8.7,9.9,29,232,5,7
2020,Jeep,Cherokee 4X4 Active Drive II,SUV: Small,2,4,A9,X,11.5,8.6,10.2,28,240,5,5
2020,Jeep,Cherokee 4X4 Active Drive I,SUV: Small,2,4,A9,X,11.2,8,9.8,29,229,5,5
2020,Jeep,Renegade 4X4 Trailhawk,SUV: Small,1.3,4,A9,X,10.8,8.7,9.9,29,230,5,6
2020,Jeep,Wrangler 4X4,SUV: Small,3.6,6,A8,X,12.8,10.4,11.8,24,274,4,5
2020,Jeep,Gladiator 4X4,Pickup truck: Standard,3.6,6,A8,X,13.7,10.7,12.3,23,290,3,5
2020,Jeep,Wrangler Unlimited 4X4,SUV: Small,3.6,6,M6,X,13.8,10.1,12.2,23,285,3,5
2020,Jeep,Grand Cherokee 4X4 SRT,SUV: Standard,6.4,8,A8,Z,18.3,12.6,15.7,18,368,2,1
2020,Jeep,Gladiator 4X4,Pickup truck: Standard,3.6,6,M6,X,14.3,10.4,12.6,22,296,3,5
2020,Jeep,Wrangler 4X4 eTorque,SUV: Small,3.6,6,A8,X,12,9.8,11,26,259,4,5
2020,Kia,Forte,Mid-size,2,4,M6,X,8.6,6.4,7.6,37,180,7,5
2020,Kia,Sorento AWD,SUV: Small,3.3,6,AS8,X,12.3,9.5,11.1,25,261,4,5
2020,Kia,Soul,Station wagon: Small,2,4,AV,X,8.6,7.1,7.9,36,188,6,7
2020,Kia,Optima,Full-size,2.4,4,AS6,X,9.5,7.1,8.4,34,199,6,5
2020,Kia,Telluride AWD,SUV: Small,3.8,6,AS8,X,12.5,9.6,11.2,25,264,4,5
2020,Kia,Forte 5,Full-size,1.6,4,AM7,X,8.9,6.9,8,35,190,6,5
2020,Lamborghini,Huracan Spyder,Two-seater,5.2,10,AM7,Z,18,12.9,15.7,18,370,2,1
2020,Lamborghini,Aventador Coupe,Two-seater,6.5,12,AM7,Z,26.2,15.5,21.4,13,485,1,1
2020,Land Rover,Discovery Sport P290,SUV: Small,2,4,AS9,Z,12.3,9.8,11.1,25,262,4,7
2020,Land Rover,Range Rover Sport TD6 Diesel,SUV: Standard,3,6,AS8,D,10.7,8.3,9.6,29,256,4,1
2020,Land Rover,Discovery Sport P250,SUV: Small,2,4,AS9,Z,12.6,9.7,11.3,25,266,4,7
2020,Land Rover,Range Rover 5.0 Supercharged,SUV: Standard,5,8,AS8,Z,14.4,11.2,12.9,22,305,3,3
2020,Land Rover,Range Rover 5.0 Supercharged LWB,SUV: Standard,5,8,AS8,Z,14.4,11.3,13,22,305,3,3
2020,Lexus,GS 350 AWD,Mid-size,3.5,6,AS6,Z,12.3,9.1,10.9,26,254,4,5
2020,Lexus,LS 500h AWD,Mid-size,3.5,6,AV10,Z,10.3,7.7,9.1,31,214,5,7
2020,Lexus,ES 300h,Mid-size,2.5,4,AS6,X,5.5,5.2,5.3,53,124,10,7
2020,Lexus,GX 460,SUV: Standard,4.6,8,AS6,Z,16.2,12.3,14.5,19,337,2,3
2020,Lexus,ES 350 F SPORT,Mid-size,3.5,6,AS8,X,10.9,7.5,9.4,30,219,5,5
2020,Lexus,IS 350 AWD,Compact,3.5,6,AS6,Z,12.3,9.1,10.9,26,254,4,5
2020,Lincoln,Navigator 4X4,SUV: Standard,3.5,6,AS10,X,15,11.5,13.4,21,315,3,5
2020,Lincoln,Corsair AWD,SUV: Small,2,4,AS8,X,11.1,8.1,9.8,29,229,5,5
2020,Lincoln,Aviator,SUV: Standard,3,6,AS10,X,13.7,9.7,11.9,24,280,4,5
2020,Maserati,Levante Trofeo,SUV: Standard,3.8,8,AS8,Z,17.3,12.9,15.3,18,360,2,1
2020,Maserati,Quattroporte S Q4,Full-size,3,6,AS8,Z,15,10.3,12.8,22,301,3,1
2020,Mazda,CX-30,SUV: Small,2,4,AS6,X,8.9,7.1,8.1,35,189,6,7
2020,Mazda,Mazda6 Turbo,Mid-size,2.5,4,AS6,X,10,7.5,8.9,32,208,6,3
2020,Mazda,CX-30 4WD (Cylinder Deactivation),SUV: Small,2.5,4,AS6,X,9.5,7.4,8.6,33,200,6,7
2020,Mazda,Mazda3 4-Door (SIL),Compact,2,4,M6,X,8.7,6.4,7.7,37,180,7,7
2020,Mazda,Mazda3 5-Door,Mid-size,2.5,4,AS6,X,9,6.8,8,35,187,7,7
2020,Mazda,CX-5 4WD (Cylinder Deactivation),SUV: Small,2.5,4,AS6,X,9.8,7.9,9,31,208,6,7
2020,Mazda,CX-30 4WD,SUV: Small,2,4,AS6,X,9.4,7.7,8.6,33,202,6,7
2020,Mercedes-Benz,Maybach S 650,Full-size,6,12,A7,Z,18.4,11.1,15.1,19,355,2,3
2020,Mercedes-Benz,S 450 4MATIC SWB,Mid-size,3,6,A9,Z,12.8,8.5,10.8,26,253,4,3
2020,Mercedes-Benz,SL 550,Two-seater,4.7,8,A9,Z,13.5,9.3,11.6,24,270,4,1
2020,Mercedes-Benz,AMG E 53 4MATIC+ Coupe,Subcompact,3,6,A9,Z,12.3,8.5,10.6,27,237,5,5
2020,Mercedes-Benz,AMG C 63 S,Compact,4,8,A9,Z,13.2,8.7,11.2,25,263,4,5
2020,Mercedes-Benz,AMG C 63 S Coupe,Subcompact,4,8,A9,Z,13.9,9.2,11.8,24,277,4,5
2020,Mercedes-Benz,CLS 450 4MATIC,Compact,3,6,A9,Z,11.3,7.9,9.8,29,213,5,5
2020,Mercedes-Benz,C 300 4MATIC Wagon,Station wagon: Small,2,4,A9,Z,10.9,7.7,9.5,30,221,5,5
2020,Mercedes-Benz,E 450 4MATIC Coupe,Subcompact,3,6,A9,Z,12.5,9.1,11,26,257,4,5
2020,MINI,Cooper Convertible,Minicompact,1.5,3,AM7,Z,8.3,6.4,7.5,38,174,7,7
2020,MINI,Cooper Clubman ALL4,Mid-size,1.5,3,AS8,Z,9.7,7,8.5,33,197,6,7
2020,MINI,Cooper 5 Door,Subcompact,1.5,3,AM7,Z,8.3,6.4,7.5,38,174,7,7
2020,MINI,Cooper Countryman ALL4,Mid-size,1.5,3,AS8,Z,9.8,7.1,8.6,33,200,6,7
2020,Mitsubishi,Mirage,Compact,1.2,3,AV,X,6.6,5.6,6.2,46,143,9,5
2020,Mitsubishi,RVR 4WD,SUV: Small,2.4,4,AV6,X,10.3,8.3,9.4,30,218,5,5
2020,Nissan,Qashqai,Station wagon: Small,2,4,M6,X,10.1,8.2,9.2,31,217,5,5
2020,Nissan,Qashqai AWD,Station wagon: Small,2,4,AV8,X,9,7.7,8.4,34,198,6,5
2020,Nissan,370Z,Two-seater,3.7,6,AS7,Z,12.6,9.3,11.1,25,261,4,3
2020,Nissan,Versa,Compact,1.6,4,AV,X,7.4,5.9,6.7,42,158,8,7
2020,Nissan,Murano AWD,Station wagon: Mid-size,3.5,6,AV7,X,11.7,8.5,10.3,27,242,5,5
2020,Nissan,Armada 4WD,SUV: Standard,5.6,8,AS7,X,17.5,12.9,15.4,18,362,2,3
2020,Nissan,370Z Roadster,Two-seater,3.7,6,AS7,Z,13,9.7,11.5,25,271,4,3
2020,Porsche,Panamera 4S,Full-size,2.9,6,AM8,Z,13.1,8.9,11.2,25,261,4,5
2020,Porsche,911 Carrera 4S Cabriolet,Minicompact,3,6,AM8,Z,13.1,10.2,11.8,24,277,4,5
2020,Porsche,Panamera Turbo ST,Full-size,4,8,AM8,Z,13.4,10.1,11.9,24,279,4,3
2020,Porsche,911 Carrera S,Minicompact,3,6,AM8,Z,13.1,9.7,11.5,25,271,4,5
2020,Porsche,911 Carrera 4S,Minicompact,3,6,AM8,Z,13.1,10.2,11.8,24,277,4,5
2020,Ram,1500 Classic,Pickup truck: Standard,5.7,8,A8,X,15.7,11,13.6,21,319,3,3
2020,Ram,1500 eTorque,Pickup truck: Standard,5.7,8,A8,X,14.1,10.3,12.4,23,290,3,3
2020,Ram,1500 eTorque,Pickup truck: Standard,3.6,6,A8,X,11.9,9.4,10.8,26,253,4,5
2020,Ram,1500 Classic 4X4,Pickup truck: Standard,5.7,8,A8,X,16.2,11.6,14.1,20,330,3,3
2020,Rolls-Royce,Phantom EWB,Full-size,6.7,12,AS8,Z,20,11.8,16.3,17,382,1,3
2020,Rolls-Royce,Cullinan Black Badge,Station wagon: Mid-size,6.7,12,AS8,Z,20.1,12.1,16.5,17,386,1,3
2020,Subaru,Impreza 4-Door AWD,Mid-size,2,4,M5,X,10.1,7.6,9,31,210,5,6
2020,Subaru,Impreza 4-Door AWD,Mid-size,2,4,AV7,X,8.3,6.4,7.5,38,174,7,6
2020,Subaru,WRX AWD,Compact,2,4,AV8,Z,12.9,9.7,11.5,25,263,4,1
2020,Subaru,Outback AWD,SUV: Small,2.4,4,AV8,X,10.1,7.9,9.1,31,213,5,3
2020,Toyota,Yaris (SIL),Compact,1.5,4,M6,X,7.8,6.1,6.9,41,165,8,3
2020,Toyota,86,Minicompact,2,4,M6,Z,11.2,8.3,9.9,29,232,5,1
2020,Toyota,Camry Hybrid LE,Mid-size,2.5,4,AV6,X,4.9,4.8,4.9,58,113,10,7
2020,Toyota,Tacoma 4WD,Pickup truck: Small,3.5,6,M6,X,13.8,11.4,12.7,22,299,3,5
2020,Toyota,Corolla,Compact,1.8,4,AV,X,7.9,6.1,7.1,40,165,7,5
2020,Toyota,Corolla Hatchback,Compact,2,4,AV10,X,7.5,5.8,6.7,42,158,8,6
2020,Toyota,Highlander Hybrid AWD,SUV: Standard,2.5,4,AV6,X,6.7,6.8,6.7,42,158,8,7
2020,Toyota,Tacoma 4WD,Pickup truck: Small,3.5,6,AS6,X,13,10.5,11.9,24,278,4,5
2020,Toyota,Corolla,Compact,1.8,4,M6,X,8,6,7.1,40,165,7,5
2020,Toyota,Camry TRD,Mid-size,3.5,6,AS8,X,10.8,7.6,9.4,30,220,5,5
2020,Toyota,GR Supra,Two-seater,3,6,AS8,Z,9.9,7.7,8.9,32,208,6,3
2020,Toyota,Yaris,Compact,1.5,4,AS6,X,7.3,5.9,6.6,43,155,8,3
2020,Volkswagen,Golf GTI,Compact,2,4,AM7,X,9.7,7.5,8.7,32,203,6,7
2020,Volkswagen,Atlas Cross Sport 4MOTION,SUV: Small,2,4,AS8,X,12.8,10.4,11.7,24,273,4,3
2020,Volkswagen,Tiguan,SUV: Small,2,4,AS8,X,10.5,8.1,9.4,30,221,5,7
2020,Volvo,S90 T6 AWD,Mid-size,2,4,AS8,Z,11.3,7.5,9.6,29,223,5,7
2020,Volvo,V60 CC T5 AWD,Station wagon: Small,2,4,AS8,Z,10.8,7.7,9.4,30,220,5,5
2020,Volvo,S60 T6 AWD,Compact,2,4,AS8,Z,11,7.4,9.4,30,219,5,7
